,Prognozuojamas nacionalinis elektros energijos suvartojimas,Planuojamas nacionalinis elektros energijos suvartojimas,Faktinis nacionalinis Elektros energijos vartojimas
2024-07-01 00:00:00,1109,1005.17,1102.288
2024-07-01 01:00:00,1055,994.87,1052.747
2024-07-01 02:00:00,1032,991.37,1030.13
2024-07-01 03:00:00,1026,1024.27,1014.376
2024-07-01 04:00:00,1026,1042.27,999.818
2024-07-01 05:00:00,1063,1064.27,1053.644
2024-07-01 06:00:00,1230,1218.77,1258.675
2024-07-01 07:00:00,1381,1343.17,1438.769
2024-07-01 08:00:00,1494,1473.47,1626.658
2024-07-01 09:00:00,1555,1532.67,1732.993
2024-07-01 10:00:00,1576,1611.37,1731.444
2024-07-01 11:00:00,1577,1591.17,1670.45
2024-07-01 12:00:00,1563,1493.67,1651.178
2024-07-01 13:00:00,1578,1481.47,1693.221
2024-07-01 14:00:00,1553,1407.67,1763.347
2024-07-01 15:00:00,1528,1369.37,1760.792
2024-07-01 16:00:00,1502,1405.97,1650.076
2024-07-01 17:00:00,1458,1446.97,1561.623
2024-07-01 18:00:00,1440,1413.87,1492.754
2024-07-01 19:00:00,1428,1357.37,1429.136
2024-07-01 20:00:00,1411,1376.87,1363.344
2024-07-01 21:00:00,1382,1316.97,1348.061
2024-07-01 22:00:00,1329,1295.97,1321.252
2024-07-01 23:00:00,1219,1224.97,1232.9
2024-07-02 00:00:00,1118,1110.17,1123.947
2024-07-02 01:00:00,1056,1039.77,1054.727
2024-07-02 02:00:00,1022,997.97,1023.824
2024-07-02 03:00:00,1007,983.17,1007.47
2024-07-02 04:00:00,999,965.27,1001.986
2024-07-02 05:00:00,1022,992.27,1057.689
2024-07-02 06:00:00,1175,1177.37,1218.013
2024-07-02 07:00:00,1319,1353.77,1342.051
2024-07-02 08:00:00,1421,1470.67,1455.586
2024-07-02 09:00:00,1464,1523.07,1518.897
2024-07-02 10:00:00,1474,1528.37,1507.035
2024-07-02 11:00:00,1482,1540.37,1482.275
2024-07-02 12:00:00,1479,1529.27,1490.195
2024-07-02 13:00:00,1478,1547.77,1538.952
2024-07-02 14:00:00,1472,1489.27,1602.831
2024-07-02 15:00:00,1455,1475.67,1614.2
2024-07-02 16:00:00,1431,1491.47,1535.896
2024-07-02 17:00:00,1406,1470.27,1450.086
2024-07-02 18:00:00,1389,1446.27,1402.072
2024-07-02 19:00:00,1370,1414.47,1379.108
2024-07-02 20:00:00,1348,1393.27,1336.192
2024-07-02 21:00:00,1314,1387.07,1312.48
2024-07-02 22:00:00,1264,1328.37,1278.695
2024-07-02 23:00:00,1158,1214.27,1185.501
2024-07-03 00:00:00,1059,1088.97,1089.869
2024-07-03 01:00:00,1001,1033.27,1032.879
2024-07-03 02:00:00,971,1017.87,1004.448
2024-07-03 03:00:00,960,1009.17,986.758
2024-07-03 04:00:00,957,1013.37,991.163
2024-07-03 05:00:00,984,1019.37,1045.635
2024-07-03 06:00:00,1140,1186.77,1236.039
2024-07-03 07:00:00,1287,1357.37,1401.851
2024-07-03 08:00:00,1395,1473.27,1522.074
2024-07-03 09:00:00,1443,1558.77,1557.297
2024-07-03 10:00:00,1445,1586.27,1582.411
2024-07-03 11:00:00,1465,1527.37,1572.699
2024-07-03 12:00:00,1454,1580.37,1504.044
2024-07-03 13:00:00,1453,1552.07,1489.187
2024-07-03 14:00:00,1431,1475.37,1605.413
2024-07-03 15:00:00,1411,1477.27,1544.109
2024-07-03 16:00:00,1399,1491.17,1487.201
2024-07-03 17:00:00,1381,1430.77,1461.868
2024-07-03 18:00:00,1362,1432.17,1474.419
2024-07-03 19:00:00,1355,1426.17,1441.302
2024-07-03 20:00:00,1338,1428.67,1372.24
2024-07-03 21:00:00,1313,1391.97,1332.307
2024-07-03 22:00:00,1268,1332.87,1294.504
2024-07-03 23:00:00,1165,1229.47,1206.864
2024-07-04 00:00:00,1069,1124.97,1116.987
2024-07-04 01:00:00,1015,1047.97,1068.384
2024-07-04 02:00:00,987,1019.97,1035.043
2024-07-04 03:00:00,979,1005.97,1019.935
2024-07-04 04:00:00,976,995.77,1019.161
2024-07-04 05:00:00,1003,1026.67,1060.069
2024-07-04 06:00:00,1159,1193.47,1243.912
2024-07-04 07:00:00,1305,1337.97,1414.661
2024-07-04 08:00:00,1415,1458.37,1547.353
2024-07-04 09:00:00,1458,1524.37,1578.761
2024-07-04 10:00:00,1468,1560.77,1550.24
2024-07-04 11:00:00,1480,1575.67,1511.809
2024-07-04 12:00:00,1475,1581.37,1517.231
2024-07-04 13:00:00,1483,1565.07,1582.186
2024-07-04 14:00:00,1475,1552.67,1574.371
2024-07-04 15:00:00,1459,1528.27,1513.659
2024-07-04 16:00:00,1425,1471.37,1483.273
2024-07-04 17:00:00,1394,1475.27,1491.984
2024-07-04 18:00:00,1389,1468.67,1404.634
2024-07-04 19:00:00,1369,1435.57,1413.843
2024-07-04 20:00:00,1352,1430.07,1368.906
2024-07-04 21:00:00,1320,1396.17,1329.66
2024-07-04 22:00:00,1274,1323.77,1301.477
2024-07-04 23:00:00,1169,1201.57,1212.627
2024-07-05 00:00:00,1068,1138.37,1117.326
2024-07-05 01:00:00,1017,1062.87,1059.001
2024-07-05 02:00:00,986,1015.97,1024.664
2024-07-05 03:00:00,975,990.57,1010.85
2024-07-05 04:00:00,971,1012.27,1003.474
2024-07-05 05:00:00,996,1034.37,1052.048
2024-07-05 06:00:00,1141,1197.57,1250.191
2024-07-05 07:00:00,1280,1334.07,1424.787
2024-07-05 08:00:00,1389,1455.07,1517.595
2024-07-05 09:00:00,1435,1514.47,1561.605
2024-07-05 10:00:00,1436,1531.67,1540.839
2024-07-05 11:00:00,1434,1544.67,1466.054
2024-07-05 12:00:00,1433,1545.77,1419.451
2024-07-05 13:00:00,1436,1511.07,1340.744
2024-07-05 14:00:00,1404,1438.67,1282.766
2024-07-05 15:00:00,1378,1456.27,1280.864
2024-07-05 16:00:00,1356,1343.77,1218.195
2024-07-05 17:00:00,1333,1321.47,1214.089
2024-07-05 18:00:00,1322,1324.87,1282.117
2024-07-05 19:00:00,1309,1311.37,1356.331
2024-07-05 20:00:00,1290,1310.67,1292.825
2024-07-05 21:00:00,1257,1320.17,1246.033
2024-07-05 22:00:00,1223,1490.17,1235.782
2024-07-05 23:00:00,1143,1217.37,1183.856
2024-07-06 00:00:00,1044,1104.97,1114.551
2024-07-06 01:00:00,976,1029.37,1039.947
2024-07-06 02:00:00,940,1003.37,1006.671
2024-07-06 03:00:00,922,997.07,981.997
2024-07-06 04:00:00,908,922.07,946.131
2024-07-06 05:00:00,899,924.17,981.902
2024-07-06 06:00:00,949,978.77,1100.49
2024-07-06 07:00:00,1022,1057.47,1111.829
2024-07-06 08:00:00,1103,1174.17,1125.714
2024-07-06 09:00:00,1179,1259.87,1142.481
2024-07-06 10:00:00,1218,1303.67,1099.155
2024-07-06 11:00:00,1237,1280.97,1141.793
2024-07-06 12:00:00,1245,1238.77,1153.862
2024-07-06 13:00:00,1244,1222.37,1102.261
2024-07-06 14:00:00,1223,1232.87,1059.53
2024-07-06 15:00:00,1200,1295.07,1039.007
2024-07-06 16:00:00,1203,1206.47,1031.992
2024-07-06 17:00:00,1211,1150.37,1049.31
2024-07-06 18:00:00,1220,1132.27,1146.012
2024-07-06 19:00:00,1225,1242.27,1334.589
2024-07-06 20:00:00,1227,1254.07,1462.241
2024-07-06 21:00:00,1227,1226.97,1349.814
2024-07-06 22:00:00,1227,1252.67,1203.646
2024-07-06 23:00:00,1135,1251.57,1168.223
2024-07-07 00:00:00,1069,1075.37,1068.594
2024-07-07 01:00:00,1018,1001.37,1019.406
2024-07-07 02:00:00,990,951.07,989.502
2024-07-07 03:00:00,976,970.27,956.519
2024-07-07 04:00:00,963,925.07,928.867
2024-07-07 05:00:00,953,895.27,941.909
2024-07-07 06:00:00,989,946.17,1008.412
2024-07-07 07:00:00,1047,1025.17,1040.001
2024-07-07 08:00:00,1136,1108.27,1096.535
2024-07-07 09:00:00,1227,1212.37,1131.289
2024-07-07 10:00:00,1280,1183.97,1187.418
2024-07-07 11:00:00,1295,1194.27,1275.559
2024-07-07 12:00:00,1314,1196.97,1363.894
2024-07-07 13:00:00,1320,1234.67,1417.837
2024-07-07 14:00:00,1316,1290.27,1410.745
2024-07-07 15:00:00,1298,1318.97,1470.767
2024-07-07 16:00:00,1290,1331.37,1358.294
2024-07-07 17:00:00,1291,1293.47,1296.521
2024-07-07 18:00:00,1293,1288.27,1353.605
2024-07-07 19:00:00,1302,1259.07,1355.18
2024-07-07 20:00:00,1295,1263.57,1303.041
2024-07-07 21:00:00,1281,1250.77,1272.371
2024-07-07 22:00:00,1246,1222.97,1241.213
2024-07-07 23:00:00,1157,1158.57,1154.422
2024-07-08 00:00:00,1060,1044.57,1066.482
2024-07-08 01:00:00,1000,986.57,1028.91
2024-07-08 02:00:00,971,945.57,996.882
2024-07-08 03:00:00,956,922.27,975.898
2024-07-08 04:00:00,951,929.07,983.04
2024-07-08 05:00:00,982,969.77,1028.92
2024-07-08 06:00:00,1142,1182.87,1229.618
2024-07-08 07:00:00,1291,1311.07,1449.854
2024-07-08 08:00:00,1408,1460.97,1500.619
2024-07-08 09:00:00,1461,1513.97,1430.139
2024-07-08 10:00:00,1474,1511.17,1394.452
2024-07-08 11:00:00,1474,1448.77,1372.323
2024-07-08 12:00:00,1462,1427.57,1358.158
2024-07-08 13:00:00,1469,1469.07,1328.107
2024-07-08 14:00:00,1449,1463.77,1292.71
2024-07-08 15:00:00,1422,1456.67,1278.614
2024-07-08 16:00:00,1396,1416.87,1273.972
2024-07-08 17:00:00,1380,1388.27,1286.939
2024-07-08 18:00:00,1377,1323.37,1363.025
2024-07-08 19:00:00,1377,1358.17,1403.07
2024-07-08 20:00:00,1366,1380.37,1389.3
2024-07-08 21:00:00,1343,1349.57,1374.274
2024-07-08 22:00:00,1300,1284.77,1341.363
2024-07-08 23:00:00,1194,1232.27,1228.028
2024-07-09 00:00:00,1096,1146.77,1112.439
2024-07-09 01:00:00,1040,1065.77,1041.85
2024-07-09 02:00:00,1010,1017.47,1008.085
2024-07-09 03:00:00,1002,1002.37,990.206
2024-07-09 04:00:00,999,988.17,987.626
2024-07-09 05:00:00,1025,1013.27,1047.987
2024-07-09 06:00:00,1179,1175.97,1250.227
2024-07-09 07:00:00,1325,1331.87,1387.706
2024-07-09 08:00:00,1434,1443.07,1436.669
2024-07-09 09:00:00,1481,1523.17,1451.942
2024-07-09 10:00:00,1487,1510.67,1452.003
2024-07-09 11:00:00,1497,1498.27,1453.945
2024-07-09 12:00:00,1494,1550.17,1446.561
2024-07-09 13:00:00,1513,1550.87,1477.179
2024-07-09 14:00:00,1508,1540.07,1476.481
2024-07-09 15:00:00,1483,1494.87,1493.934
2024-07-09 16:00:00,1458,1490.97,1449.755
2024-07-09 17:00:00,1442,1471.47,1397.76
2024-07-09 18:00:00,1437,1429.37,1424.11
2024-07-09 19:00:00,1423,1398.77,1458.015
2024-07-09 20:00:00,1407,1424.87,1438.234
2024-07-09 21:00:00,1379,1400.67,1400.545
2024-07-09 22:00:00,1335,1378.57,1372.022
2024-07-09 23:00:00,1227,1228.97,1269.91
2024-07-10 00:00:00,1128,1110.17,1150.683
2024-07-10 01:00:00,1072,1069.47,1074.809
2024-07-10 02:00:00,1043,1016.37,1032.59
2024-07-10 03:00:00,1032,986.37,1016.629
2024-07-10 04:00:00,1031,989.47,1015.193
2024-07-10 05:00:00,1059,1009.97,1068.916
2024-07-10 06:00:00,1212,1181.07,1272.137
2024-07-10 07:00:00,1356,1328.17,1450.017
2024-07-10 08:00:00,1466,1454.77,1554.092
2024-07-10 09:00:00,1510,1531.27,1605.637
2024-07-10 10:00:00,1516,1556.97,1561.368
2024-07-10 11:00:00,1522,1600.47,1457.524
2024-07-10 12:00:00,1514,1554.37,1410.657
2024-07-10 13:00:00,1529,1545.67,1410.217
2024-07-10 14:00:00,1511,1545.87,1377.316
2024-07-10 15:00:00,1495,1556.87,1348.26
2024-07-10 16:00:00,1465,1445.77,1357.564
2024-07-10 17:00:00,1449,1429.97,1347.958
2024-07-10 18:00:00,1445,1390.07,1440.502
2024-07-10 19:00:00,1437,1433.27,1515.649
2024-07-10 20:00:00,1425,1439.27,1491.232
2024-07-10 21:00:00,1400,1429.77,1450.387
2024-07-10 22:00:00,1356,1381.57,1407.793
2024-07-10 23:00:00,1248,1311.57,1276.168
2024-07-11 00:00:00,1148,1141.27,1161.839
2024-07-11 01:00:00,1091,1076.67,1089.328
2024-07-11 02:00:00,1061,1068.07,1080.416
2024-07-11 03:00:00,1049,1049.17,1076.992
2024-07-11 04:00:00,1047,1054.97,1064.526
2024-07-11 05:00:00,1073,1065.87,1109.811
2024-07-11 06:00:00,1225,1244.37,1299.71
2024-07-11 07:00:00,1369,1399.87,1465.616
2024-07-11 08:00:00,1479,1556.57,1543.867
